Vandens telkinio pavadinimas,Kodas,Savivaldybe,Zuvu istekliu bukles indeksasi,"Biomase, kg",Gausumas (vnt),"Plesriu zuvu gausumas, %","Plesriu zuvu biomase, %",Eserys (Gausumas),Eserys (Biomase,Karsis (Gausumas),Karsis (Biomase),Kuoja (Gausumas),Kuoja (Biomase),Plakis (Gausumas),Plakis (Biomase),Raude (Gausumas),Raude (Biomase),Pugzlys (Gausumas),Pugzlys (Biomase)
Aisetas,12140251,Utenos r. sav.,0.49,1.740,38,1.61,16.45,0.0,0.000,0.0,0.000,10.0,0.614,0.0,0.000,0.0,0.000,0.0,0.000
Almajas,12130086,Ignalinos r. sav.,0.47,1.227,27,2.17,15.66,0.0,0.000,0.0,0.000,0.0,0.000,15.4,0.284,0.0,0.000,0.0,0.000
Alnis,12130082,Moletu r. sav.,0.57,3.798,42,2.83,26.02,0.0,0.000,0.0,0.000,23.1,1.794,0.0,0.000,0.0,0.000,0.0,0.000
Antakmeniu ezeras,10030651,Traku r. sav.,1.00,5.435,118,1.00,1.00,0.0,0.000,0.0,0.000,81.5,2.236,0.0,0.000,0.0,0.000,0.0,0.000
Antanavo HE tvenkinys,15050005,Marijampoles sav.,0.63,8.990,107,1.65,17.60,0.0,0.000,0.0,0.000,27.0,4.854,0.0,0.000,0.0,0.000,0.0,0.000
Apvardai,50030211,Ignalinos r. sav.,0.42,4.450,104,0.92,11.32,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000,4.3,0.041
Arinas,12140420,Moletu r. sav.,0.77,4.060,36,3.28,14.67,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000,4.1,0.153,0.0,0.000
Asalnai,12130004,Ignalinos r. sav.,0.63,3.409,38,4.69,24.23,17.0,1.287,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000
Asavas,12230015,Zarasu r. sav.,0.69,0.03.816,51,3.02,11.73,0.0,0.000,6.3,0.462,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000
Atesys,10040584,Alytaus r. sav.,0.55,2.826,31,3.14,14.67,0.0,0.000,0.0,0.000,0.0,0.000,9.8,0.286,0.0,0.000,0.0,0.000
Aukstadvario HE tvenkinys,10050212,Traku r. sav.,0.70,5.319,66,3.07,22.67,0.0,0.000,0.0,0.000,20.0,1.523,0.0,0.000,0.0,0.000,0.0,0.000
Aviris,10030319,Druskininku sav.,1.00,3.953,69,1.00,1.00,0.0,0.000,0.0,0.000,0.0,0.000,7.4,0.133,0.0,0.000,0.0,0.000
Baltosios Ancios tvenkinys,10050030,Lazdiju r. sav.,0.30,4.067,118,0.29,3.62,0.0,0.000,0.0,0.000,0.0,0.000,23.1,0.492,0.0,0.000,0.0,0.000
